City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,nieuw amsterdam,5.8833,-55.0833,23.34,91,99,3.83,SR,1675043232
306,kingstown,13.1587,-61.2248,24.21,74,7,4.6,VC,1675043233
307,biltine,14.5333,20.9167,24.72,14,21,2.47,TD,1675043233
308,isiro,2.7739,27.616,17.17,80,4,1.35,CD,1675043235
309,aklavik,68.2191,-135.0107,-18.49,98,100,0.2,CA,1675043235
310,buchanan,5.8808,-10.0467,25.07,90,97,1.64,LR,1675043102
311,moron,-34.6534,-58.6198,23.83,72,0,4.54,AR,1675043236
312,naze,28.3667,129.4833,12.51,52,39,5.93,JP,1675043237
313,padang,-0.9492,100.3543,27.03,72,97,2.22,ID,1675043238
314,san policarpo,12.1791,125.5072,24.76,92,100,7.72,PH,1675043238
315,mapiri,-15.25,-68.1667,18.69,97,100,0.87,BO,1675043239
316,porto novo,6.4965,2.6036,26.9,81,100,1.35,BJ,1675042961
317,honiara,-9.4333,159.95,27.04,77,100,1.47,SB,1675043240
318,taltal,-25.4,-70.4833,19.27,80,12,0.67,CL,1675043241
319,peleduy,59.6289,112.7406,-11.84,96,100,1.4,RU,1675043242
320,beloha,-25.1667,45.05,21.73,98,42,2.02,MG,1675043242
321,carlos antonio lopez,-26.4,-54.7667,20.56,99,12,1.25,PY,1675043243
322,mehamn,71.0357,27.8492,1.95,80,20,4.12,NO,1675043244
323,conceicao do araguaia,-8.2578,-49.2647,22.64,91,31,0.68,BR,1675043135
324,kismayo,-0.3582,42.5454,24.66,80,82,7.73,SO,1675043244
325,gorontalo,0.5412,123.0595,27.47,80,100,1.13,ID,1675043245
326,porto belo,-27.1578,-48.5531,23.98,90,100,2.74,BR,1675043246
327,ribeira grande,38.5167,-28.7,13.21,85,87,3.13,PT,1675043246
328,homer,59.6425,-151.5483,5.58,87,100,2.06,US,1675043247
329,mianwali,32.5741,71.5264,10.57,87,100,3.01,PK,1675043248
330,cidreira,-30.1811,-50.2056,22.49,89,0,0.19,BR,1675043248
331,goderich,43.7501,-81.7165,-3.94,80,99,3.09,CA,1675043006
332,pandegelang,-6.31,106.1058,25.75,80,96,2.36,ID,1675043249
333,inhambane,-23.865,35.3833,25.13,84,77,5.89,MZ,1675043038
334,gejiu,23.306,103.1635,6.85,62,3,1.37,CN,1675043250
335,iberia,29.9502,-91.7507,22.04,94,100,5.66,US,1675043251
336,nixa,37.0434,-93.2944,-3.29,94,100,3.58,US,1675043251
337,tame,6.461,-71.73,23.4,45,86,2.35,CO,1675043251
338,san pedro,14.35,121.0167,27.95,67,20,1.03,PH,1675043253
339,alofi,-19.0595,-169.9187,27.94,78,85,3.09,NU,1675043254
340,dhidhdhoo,6.8833,73.1,26.67,71,43,4.26,MV,1675043255
341,naters,46.3254,7.9891,7.76,41,22,1.64,CH,1675043256
